,t,θ,dθ,ddθ,w1
0,0.0,0.0,0.0,0.0,0.0
1,0.002,1.614890320725493e-07,0.00024223155581666714,0.24222657510945692,-9.815301377556158e-08
2,0.004,1.2918644424102668e-06,0.0009688664562548592,0.48439338443601954,-7.849143268799283e-07
3,0.006,4.359773551059625e-06,0.002179725415025764,0.7264406769431063,-2.6478621748451562e-06
4,0.008,1.0333385620622368e-05,0.0038745096707997785,0.9683087310831227,-6.272981451917713e-06
5,0.01,2.018015297497257e-05,0.006052801060921391,1.209937869532859,-1.2244148584223416e-05
6,0.012,3.486657229486994e-05,0.008714062124584556,1.4512684739179769,-2.1142618335586192e-05
7,0.014,5.535794614937143e-05,0.011857636235443132,1.6922409995229517,-3.354651290529214e-05
8,0.016,8.261814482186687e-05,0.015482747763623562,1.93279598998284,-5.003031367525819e-05
9,0.018000000000000002,0.00011760936848950392,0.019588502267099975,2.172874091953247,-7.11643559619983e-05
10,0.02,0.00016129190981469633,0.024173886712384386,2.412416069754878,-9.751432712648046e-05
11,0.022,0.00021462391700727667,0.029237769724477454,2.651362819989053,-0.00012964076839243772
12,0.024,0.00027856115741574486,0.0347789018660185,2.889655386120589,-0.00016809858072093641
13,0.026000000000000002,0.00035405678170601567,0.04079591594556531,3.1272349730244424,-0.00021343653508601774
14,0.028,0.0004420610886857432,0.0472873273549283,3.3640429614925234,-0.0002661967874930169
15,0.03,0.000543521290832274,0.054251534435475236,3.60002092269711,-0.0003269143990777295
16,0.032,0.0006593812805821654,0.06168681887331672,3.835110632607292,-0.00039611686162093916
17,0.034,0.0007905813974398837,0.0695913461232742,4.06925408635487,-0.00047432362880894796
18,0.036000000000000004,0.0009380581959630265,0.07796316586152674,4.302393512546194,-0.0005620456535666641
19,0.038,0.0011027442146815953,0.08680021246682423,4.534471387516396,-0.0006597849317855001
20,0.04,0.0012855677460079757,0.09610030553014834,4.76543044952248,-0.0007680340527638271
21,0.042,0.0014874526071947283,0.10586115039269588,4.9952137128718075,-0.0008872757566730165
22,0.044,0.001709317912396474,0.11608033871205176,5.223764481982474,-0.0010179824993571816
